Complexity metrics,Sun, 24 Mar 2019 23:16:23 EDT
Method,ev(G),v(G)
"org.apache.deltaspike.core.api.provider.BeanProvider.getDependent(BeanManager,String)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getDependent(Class<T>,Annotation...)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.getDependent(String)",1,1
"org.apache.deltaspike.core.api.provider.BeanProvider.injectFields(T)",2,2
"org.apache.deltaspike.core.api.provider.BeanProvider.logWarningIfDependent(Bean<?>)",1,3
"org.apache.deltaspike.core.api.provider.DependentProvider.DependentProvider(Bean<T>,CreationalContext<T>,T)",1,1
"org.apache.deltaspike.core.api.provider.DependentProvider.destroy()",1,2
"org.apache.deltaspike.core.api.provider.DependentProvider.get()",1,1
"org.apache.deltaspike.core.api.provider.DependentProvider.readObject(ObjectInputStream)",2,2
"org.apache.deltaspike.core.api.provider.DependentProvider.writeObject(ObjectOutputStream)",3,3
"org.apache.deltaspike.core.api.resourceloader.AbstractResourceProvider.getAnnotations()",1,1
"org.apache.deltaspike.core.api.resourceloader.AbstractResourceProvider.getInjectionPoint()",1,1
"org.apache.deltaspike.core.api.resourceloader.AbstractResourceProvider.isXml(String)",1,1
"org.apache.deltaspike.core.api.resourceloader.AbstractResourceProvider.loadInputStreamToProperties(InputStream,Properties,String)",1,3
"org.apache.deltaspike.core.api.resourceloader.AbstractResourceProvider.readProperties(InjectableResource)",1,4
"org.apache.deltaspike.core.api.resourceloader.AbstractResourceProvider.readStreams(InjectableResource)",1,1
"org.apache.deltaspike.core.api.resourceloader.ClasspathResourceProvider.readClassPath(String,boolean)",2,8
"org.apache.deltaspike.core.api.resourceloader.ClasspathResourceProvider.readStream(InjectableResource)",1,3
"org.apache.deltaspike.core.api.resourceloader.ClasspathResourceProvider.readStreams(InjectableResource)",1,2
"org.apache.deltaspike.core.api.resourceloader.ClasspathResourceProvider.urlsToString(List<URL>,String)",2,3
"org.apache.deltaspike.core.api.resourceloader.FileResourceProvider.readFile(String)",2,5
"org.apache.deltaspike.core.api.resourceloader.FileResourceProvider.readStream(InjectableResource)",1,1
"org.apache.deltaspike.core.impl.activation.DefaultClassDeactivator.isActivated(Class<? extends Deactivatable>)",2,3
"org.apache.deltaspike.core.impl.config.BaseConfigSource.getOrdinal()",1,1
"org.apache.deltaspike.core.impl.config.BaseConfigSource.initOrdinal(int)",1,3
"org.apache.deltaspike.core.impl.config.ConfigHelperImpl.compare(String,String)",3,4
"org.apache.deltaspike.core.impl.config.ConfigHelperImpl.diffConfig(Map<String, String>,Map<String, String>)",1,6
"org.apache.deltaspike.core.impl.config.ConfigImpl.ConfigImpl(ClassLoader)",1,1
"org.apache.deltaspike.core.impl.config.ConfigImpl.addConfigFilter(ConfigFilter)",1,1
"org.apache.deltaspike.core.impl.config.ConfigImpl.addConfigSources(List<ConfigSource>)",2,6
"org.apache.deltaspike.core.impl.config.ConfigImpl.close(Object)",1,3
"org.apache.deltaspike.core.impl.config.ConfigImpl.filterConfigValue(String,String,boolean)",1,3
"org.apache.deltaspike.core.impl.config.ConfigImpl.getConfigFilters()",1,1
"org.apache.deltaspike.core.impl.config.ConfigImpl.getConfigSources()",1,1
"org.apache.deltaspike.core.impl.config.ConfigImpl.getLastChanged()",1,1
"org.apache.deltaspike.core.impl.config.ConfigImpl.init()",1,4
"org.apache.deltaspike.core.impl.config.ConfigImpl.onAttributeChange(Set<String>)",1,2
"org.apache.deltaspike.core.impl.config.ConfigImpl.release()",1,3
"org.apache.deltaspike.core.impl.config.ConfigImpl.resolve(String)",1,1
"org.apache.deltaspike.core.impl.config.ConfigImpl.snapshotFor(TypedResolver<?>...)",3,4
"org.apache.deltaspike.core.impl.config.ConfigImpl.sortDescending(List<ConfigSource>)",2,3
"org.apache.deltaspike.core.impl.config.ConfigProviderImpl.getConfig()",1,1
"org.apache.deltaspike.core.impl.config.ConfigProviderImpl.getConfig(ClassLoader)",1,3
"org.apache.deltaspike.core.impl.config.ConfigProviderImpl.getHelper()",1,1
"org.apache.deltaspike.core.impl.config.ConfigProviderImpl.isChildClassLoader(ClassLoader,ClassLoader)",3,3
"org.apache.deltaspike.core.impl.config.ConfigProviderImpl.releaseConfig(ClassLoader)",1,4
"org.apache.deltaspike.core.impl.config.ConfigResolverContext.ConfigResolverContext()",1,1
"org.apache.deltaspike.core.impl.config.ConfigResolverContext.isEvaluateVariables()",1,1
"org.apache.deltaspike.core.impl.config.ConfigResolverContext.isProjectStageAware()",1,1
"org.apache.deltaspike.core.impl.config.ConfigResolverContext.isPropertyAware()",1,1
"org.apache.deltaspike.core.impl.config.ConfigResolverContext.setEvaluateVariables(boolean)",1,1
"org.apache.deltaspike.core.impl.config.ConfigResolverContext.setProjectStageAware(boolean)",1,1
"org.apache.deltaspike.core.impl.config.ConfigResolverContext.setPropertyAware(boolean)",1,1
"org.apache.deltaspike.core.impl.config.ConfigSnapshotImpl.ConfigSnapshotImpl(Map<TypedResolver<?>, Object>)",1,1
"org.apache.deltaspike.core.impl.config.ConfigSnapshotImpl.getConfigValues()",1,1
"org.apache.deltaspike.core.impl.config.ConfigurationExtension.DynamicBean.DynamicBean(Bean<T>,Set<Type>)",1,1
"org.apache.deltaspike.core.impl.config.ConfigurationExtension.DynamicBean.create(CreationalContext<T>)",1,1
"org.apache.deltaspike.core.impl.config.ConfigurationExtension.DynamicBean.destroy(T,CreationalContext<T>)",1,1
"org.apache.deltaspike.core.impl.config.ConfigurationExtension.DynamicBean.getBeanClass()",1,1
"org.apache.deltaspike.core.impl.config.ConfigurationExtension.DynamicBean.getInjectionPoints()",1,1
"org.apache.deltaspike.core.impl.config.ConfigurationExtension.DynamicBean.getName()",1,1
"org.apache.deltaspike.core.impl.config.ConfigurationExtension.DynamicBean.getQualifiers()",1,1
