Complexity metrics,Sun, 31 Mar 2019 21:38:24 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateCiManagement(CiManagement,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateConfigurationContainer(ConfigurationContainer,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateContributor(Contributor,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateDependency(Dependency,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateDependencyManagement(DependencyManagement,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateDeploymentRepository(DeploymentRepository,String,Counter,Element)",1,3,3
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateDeveloper(Developer,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateDistributionManagement(DistributionManagement,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateElement(Counter,Element,String,boolean)",1,7,10
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateExclusion(Exclusion,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateExtension(Extension,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateFileSet(FileSet,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateIssueManagement(IssueManagement,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateLicense(License,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateMailingList(MailingList,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateModel(Model,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateModelBase(ModelBase,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateNotifier(Notifier,String,Counter,Element)",1,5,5
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateOrganization(Organization,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateParent(Parent,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updatePatternSet(PatternSet,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updatePlugin(Plugin,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updatePluginConfiguration(PluginConfiguration,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updatePluginContainer(PluginContainer,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updatePluginExecution(PluginExecution,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updatePluginManagement(PluginManagement,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updatePrerequisites(Prerequisites,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateProfile(Profile,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateRelocation(Relocation,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateReportPlugin(ReportPlugin,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateReportSet(ReportSet,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateReporting(Reporting,String,Counter,Element)",1,3,3
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateRepository(Repository,String,Counter,Element)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateRepositoryBase(RepositoryBase,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateRepositoryPolicy(RepositoryPolicy,String,Counter,Element)",1,3,3
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateResource(Resource,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateScm(Scm,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.updateSite(Site,String,Counter,Element)",1,2,2
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.write(Model,Document,OutputStream)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.write(Model,Document,OutputStreamWriter)",1,1,1
"org.apache.maven.plugins.shade.pom.MavenJDOMWriter.write(Model,Document,Writer,Format)",1,1,1
"org.apache.maven.plugins.shade.pom.PomWriter.write(Writer,Model)",1,1,1
"org.apache.maven.plugins.shade.pom.PomWriter.write(Writer,Model,boolean)",1,4,4
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.SimpleRelocator(String,String,List<String>,List<String>)",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.SimpleRelocator(String,String,List<String>,List<String>,boolean)",1,8,8
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.applyToSourceContent(String)",2,2,2
