Complexity metrics,Sun, 31 Mar 2019 21:55:22 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.doxia.module.apt.AptParser.Verbatim.traverse()",1,1,2
"org.apache.maven.doxia.module.apt.AptParser.charAt(String,int,int)",1,2,2
"org.apache.maven.doxia.module.apt.AptParser.doGetTraversedLink(String,int,int)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.doTraverseText(String,int,int,Sink)",8,53,75
"org.apache.maven.doxia.module.apt.AptParser.expectedBlock(int)",2,1,2
"org.apache.maven.doxia.module.apt.AptParser.flushTraversed(StringBuilder,Sink)",1,2,2
"org.apache.maven.doxia.module.apt.AptParser.getSourceLineNumber()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.getSourceName()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.getTraversedAnchor(String,int,int)",4,2,5
"org.apache.maven.doxia.module.apt.AptParser.getTraversedLink(String,int,int)",4,2,6
"org.apache.maven.doxia.module.apt.AptParser.init()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.isHexChar(char)",1,1,6
"org.apache.maven.doxia.module.apt.AptParser.isOctalChar(char)",1,1,2
"org.apache.maven.doxia.module.apt.AptParser.logMessage(String,String)",2,2,4
"org.apache.maven.doxia.module.apt.AptParser.logWarnings()",1,6,6
"org.apache.maven.doxia.module.apt.AptParser.nextBlock()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.nextBlock(boolean)",7,22,47
"org.apache.maven.doxia.module.apt.AptParser.nextLine()",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.parse(Reader,Sink)",1,1,1
"org.apache.maven.doxia.module.apt.AptParser.parse(Reader,Sink,String)",1,5,5
"org.apache.maven.doxia.module.apt.AptParser.replaceAll(String,String,String)",1,4,4
"org.apache.maven.doxia.module.apt.AptParser.skipSpace(String,int,int)",3,3,4
"org.apache.maven.doxia.module.apt.AptParser.skipTraversedLinkAnchor(String,int,int,StringBuilder)",5,4,7
"org.apache.maven.doxia.module.apt.AptParser.traverseBody()",1,3,3
"org.apache.maven.doxia.module.apt.AptParser.traverseDefinitionList()",9,6,16
"org.apache.maven.doxia.module.apt.AptParser.traverseHead()",1,3,3
"org.apache.maven.doxia.module.apt.AptParser.traverseList()",9,6,16
"org.apache.maven.doxia.module.apt.AptParser.traverseNumberedList()",9,6,16
"org.apache.maven.doxia.module.apt.AptParser.traverseSection(int)",6,4,16
"org.apache.maven.doxia.module.apt.AptParser.traverseSectionBlocks()",3,3,8
"org.apache.maven.doxia.module.apt.AptParserModule.AptParserModule()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.createParser()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.outputExtension()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.parseFileToAptSink(String)",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.setUp()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testBoxedVerbatim()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testCommentsBeforeTitle()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testDOXIA38()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testEscapedPipeInTableCell()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testLineBreak()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testLineBreakInTableCells()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testLiteralAnchor()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testMultiLinesInTableCells()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testSectionTitleAnchors()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testSnippet()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testSnippetMacro()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testSnippetTrailingSpace()",1,1,1
