,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
74,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.phase,JsfRequestLifecycleBroadcaster.new AfterPhaseBinding() {...},13,0,0,0,2,0,2,0,2,0
75,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window,DefaultClientWindow,72,0,6,0,18,0,14,0,9,0
76,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window,JsfWindowContextQuotaHandler,9,0,0,0,3,0,2,0,2,0
77,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.scope.window,ClientWindowAdapter,16,0,0,0,7,0,5,0,5,0
78,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.request,DeltaSpikeFacesContextWrapper,265,0,34,0,69,0,27,0,10,0
79,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.request,JsfRequestBroadcaster,91,0,8,0,20,0,8,0,4,0
80,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.request,JsfClientWindowAwareLifecycleWrapper,187,0,30,0,55,0,23,0,8,0
81,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.request,DeltaSpikeLifecycleFactoryWrapper,94,0,12,0,24,0,11,0,5,0
82,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.request,DeltaSpikeExternalContextWrapper,34,0,4,0,12,0,5,0,3,0
83,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.request,DeltaSpikeFacesContextFactory,64,0,10,0,18,0,10,0,5,0
84,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.listener.request,DeltaSpikeLifecycleWrapper,131,0,20,0,40,0,20,0,10,0
85,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.message,JsfMessageProducer,53,0,4,0,12,0,5,0,3,0
86,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.message,JsfMessageResolver,35,0,6,0,10,0,5,0,2,0
87,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.message,JsfMessageBundleInvocationHandler,90,0,10,0,22,0,8,0,3,0
88,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.message,JsfAwareLocaleResolver,55,0,16,0,20,0,10,0,2,0
89,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.message,DefaultJsfMessage,80,0,4,0,15,0,11,0,9,0
90,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.message,FacesMessageEntry,18,0,0,0,8,0,4,0,4,0
91,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,DefaultNavigationParameterStrategy,53,0,6,0,13,0,5,0,2,0
92,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,ViewConfigAwareNavigationHandler,328,0,54,0,90,0,36,0,9,0
93,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,DefaultNavigationParameterContext,42,0,6,0,12,0,6,0,3,0
94,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,DefaultViewNavigationHandler,16,0,0,0,6,0,2,0,2,0
95,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,NavigationCaseMapWrapper,291,0,26,0,62,0,29,0,16,0
96,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,NavigationCaseMapWrapper.DelegatingSet,39,0,2,0,10,0,3,0,2,0
97,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,NavigationParameterInterceptor,8,0,0,0,2,0,2,0,2,0
